host_id,host_since,host_location,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified
9477674,2013-10-17,"Paris, Ile-de-France, France",0,1,1,1
17111190,2014-06-22,"Paris, Ile-de-France, France",0,1,1,1
11877969,2014-02-02,"Paris, Ile-de-France, France",0,1,1,1
8279070,2013-08-20,"Paris, Ile-de-France, France",0,1,1,1
110981560,2017-01-11,"Paris, Ile-de-France, France",0,1,1,1
69744283,2016-05-01,"Paris, Ile-de-France, France",0,1,1,1
79074344,2016-06-21,"Paris, Ile-de-France, France",0,1,1,1
50510145,2015-12-04,"Paris, Ile-de-France, France",0,1,1,1
23452871,2014-11-07,"Paris, Ile-de-France, France",0,1,1,1
9949460,2013-11-11,"Paris, Ile-de-France, France",0,1,1,1
79302999,2016-06-22,"Paris, Ile-de-France, France",0,1,1,1
9894416,2013-11-08,"Paris, Ile-de-France, France",0,1,1,1
31266893,2015-04-15,"Paris, Ile-de-France, France",0,1,1,1
23550079,2014-11-10,"Paris, Ile-de-France, France",0,1,1,1
225541,2010-09-06,"Paris, Ile-de-France, France",0,1,1,1
207735872,2018-08-06,"Paris, Ile-de-France, France",0,1,1,1
5284284,2013-03-02,"Paris, Ile-de-France, France",0,1,1,1
16129564,2014-05-29,"Paris, Ile-de-France, France",0,1,1,1
11894156,2014-02-03,"Paris, Ile-de-France, France",0,1,1,1
20304178,2014-08-20,"Paris, Ile-de-France, France",0,1,1,1
215351779,2018-09-14,"Paris, Ile-de-France, France",0,1,1,1
17240711,2014-06-25,"Paris, Ile-de-France, France",0,1,1,1
178434041,2018-03-14,"Paris, Ile-de-France, France",0,1,1,1
2600548,2012-06-10,"Paris, Ile-de-France, France",0,1,1,1
228031134,2018-11-28,"Paris, Ile-de-France, France",0,1,1,1
46827135,2015-10-18,"Paris, Ile-de-France, France",0,1,1,1
17629373,2014-07-04,"Paris, Ile-de-France, France",0,1,1,1
75962630,2016-06-05,"Paris, Ile-de-France, France",0,1,1,1
246980295,2019-03-05,"Paris, Ile-de-France, France",0,1,1,1
27532933,2015-02-10,"Paris, Ile-de-France, France",0,1,1,1
6490973,2013-05-20,"Paris, Ile-de-France, France",0,1,1,1
6179866,2013-05-01,"Paris, Ile-de-France, France",0,1,1,1
22358765,2014-10-10,"Paris, Ile-de-France, France",0,1,1,1
123273606,2017-03-29,"Paris, Ile-de-France, France",0,1,1,1
17948264,2014-07-11,"Paris, Ile-de-France, France",0,1,1,1
262201301,2019-05-16,"Paris, Ile-de-France, France",0,1,1,1
10629464,2013-12-15,"Paris, Ile-de-France, France",0,1,1,1
31474686,2015-04-18,"Paris, Ile-de-France, France",0,1,1,1
24722849,2014-12-11,"Paris, Ile-de-France, France",0,1,1,1
10848858,2013-12-27,"Paris, Ile-de-France, France",0,1,1,1
4078122,2012-11-06,"Paris, Ile-de-France, France",0,1,1,1
1275290,2011-10-11,"Paris, Ile-de-France, France",0,1,1,1
7222614,2013-07-01,"Paris, Ile-de-France, France",0,1,1,1
17804466,2014-07-08,"Paris, Ile-de-France, France",0,1,1,1
283639468,2019-08-07,"Paris, Ile-de-France, France",0,1,1,1
93134319,2016-09-02,"Paris, Ile-de-France, France",0,1,1,1
905032,2011-08-01,"Paris, Ile-de-France, France",0,1,1,1
813809,2011-07-13,"Paris, Ile-de-France, France",0,1,1,1
3161395,2012-08-05,"Paris, Ile-de-France, France",0,1,1,1
3392194,2012-08-27,"Paris, Ile-de-France, France",0,1,1,1
7468570,2013-07-14,"Paris, Ile-de-France, France",0,1,1,1
2094288,2012-04-08,"Paris, Ile-de-France, France",0,1,1,1
6758790,2013-06-05,"Paris, Ile-de-France, France",0,1,1,1
8935301,2013-09-19,"Paris, Ile-de-France, France",0,1,1,1
2215167,2012-04-24,"Paris, Ile-de-France, France",0,1,1,1
12997526,2014-03-10,"Paris, Ile-de-France, France",0,1,1,1
13220916,2014-03-17,"Paris, Ile-de-France, France",0,1,1,1
12786991,2014-03-04,"Paris, Ile-de-France, France",0,1,1,1
10075956,2013-11-17,"Paris, Ile-de-France, France",0,1,1,1
17938179,2014-07-10,"Paris, Ile-de-France, France",0,1,1,1
13661034,2014-03-29,"Paris, Ile-de-France, France",0,1,1,1
19090012,2014-07-29,"Paris, Ile-de-France, France",0,1,1,1
12113916,2014-02-10,"Paris, Ile-de-France, France",0,1,1,1
